(21.2142,0)
(7.24789,0)
(2.97469,0)
(3.52643,0)
(0.734888,0)
(3.23327,0)
(2.02832,0)
(2.65225,-0)
(1.03426,0)
(-0.173073,0)
(0.0135598,0)
(0.0966338,0)
(-0.485297,0)
(-0.221349,0)
(-0.246979,-0)
(-0.38437,0)
(0.201377,0)
(-0.054177,0)
(0.0952383,0)
(0.0127962,0)
(0.00700967,0)
(-0.169174,0)
(-0.0896094,0)
(-0.155492,0)
(-0.139296,0)
(0.041219,0)
(0.0405505,0)
(0.0691032,0)
(0.0740948,-0)
(-0.0364287,-0)
(-0.0564796,0)
(0.0875009,-0)
(0.215575,0)
(-0.225439,0)
(0.162578,0)
(-0.0119614,0)
(-0.0395688,0)
(-0.0123125,0)
(0.00670025,0)
(-0.0168877,0)
(0.00129717,0)
(-0.000633234,0)
(0.00650211,0)
(0.0344742,0)
(0.0485694,0)
(0.0946149,0)
(-0.0112183,0)
(0.059391,0)
(0.0287957,0)
(0.0459005,0)
(0.023407,0)
(0.0195311,0)
(-0.00382417,0)
(-0.00717437,0)
(-0.0427203,0)
(-0.114145,-0)
(0.0425611,-0)
(-0.0154007,-0)
(-0.0214497,-0)
(-0.0540451,-0)
(0.00288202,0)
(-0.027928,0)
(0.0262484,-0)
(-0.0642302,0)
(0.533231,0)
(-0.712218,0)
(0.413592,0)
(-0.12211,0)
(-0.05651,0)
(-0.0633191,0)
(0.0214558,0)
(-0.174481,0)
(0.0546541,0)
(0.00109338,0)
(-0.000440134,0)
(-0.0057676,0)
(0.00014567,0)
(-0.00198428,0)
(-0.00378955,0)
(0.00438851,0)
(0.000200392,0)
(0.00282701,0)
(0.00100924,0)
(0.00483798,0)
(-0.000778674,0)
(-0.00893863,0)
(0.0215948,0)
(-0.0591622,0)
(0.0310485,0)
(-0.0119923,0)
(0.0122477,0)
(-0.0023614,0)
(-0.0359531,0)
(0.00427234,0)
(0.112263,0)
(-0.0260013,0)
(-0.386336,0)
(0.157726,0)
(0.0779008,0)
(0.00654939,0)
(0.0316067,0)
(-0.0110998,0)
(-0.0611493,0)
(0.0186793,0)
(0.000720172,0)
(-0.00576708,0)
(0.0203688,0)
(0.0350471,0)
(-0.0589596,0)
(0.112007,0)
(0.228196,-0)
(0.0429728,-0)
(0.386572,-0)
(-0.118712,-0)
(-0.0877129,-0)
(-0.00848564,-0)
(-0.0160982,-0)
(0.133754,-0)
(0.186929,-0)
(0.269223,0)
(-0.143088,0)
(-0.000729999,0)
(0.00734588,0)
(0.102754,0)
(0.0857765,-0)
(0.120493,-0)
(-0.0837989,0)
(0.0793403,-0)
(-0.245516,0)
(-2.54743,0)
(1.34672,0)
(-0.684303,0)
(-0.00844632,0)
(-0.330198,0)
(0.101486,0)
(-0.886691,0)
(0.103859,0)
(0.0323281,0)
(0.0118728,0)
(-0.0370241,0)
(0.00130746,0)
(0.0316801,0)
(0.0331108,0)
(0.0970911,0)
(0.0636492,0)
(-0.030879,0)
(0.000678864,0)
(-0.0213002,0)
(0.00223089,0)
(0.00770629,0)
(-0.0344966,0)
(0.0625322,0)
(-0.0121197,0)
(0.00597849,0)
(-0.00386959,0)
(-0.00575311,0)
(0.00462668,0)
(-0.00299851,0)
(-0.00942046,0)
(0.00140716,0)
(-0.00294702,0)
(-0.000432384,0)
(0.00266796,0)
(0.00457395,0)
(0.00214555,0)
(-0.00448943,0)
(-0.010687,0)
(-0.00218108,0)
(0.00163952,0)
(0.000234681,0)
(-0.00743609,0)
(0.0392075,0)
(-0.0194672,0)
(0.0984864,0)
(0.0257656,0)
(0.162827,0)
(0.178458,0)
(-0.014239,0)
(-0.0362857,0)
(-0.0594642,0)
(-0.01859,0)
(0.134221,0)
(-0.0522624,0)
(0.577008,0)
(-0.05949,0)
(-0.0338163,0)
(-0.0732988,0)
(0.191751,0)
(0.0331764,0)
(0.180518,0)
(-0.185436,0)
(0.16447,0)
(0.557898,0)
(1.66785,0)
(-0.372375,0)
(0.461614,0)
(-0.00452035,0)
(0.236043,0)
(-0.267668,0)
(0.690012,0)
(0.0299201,0)
(-0.0247828,0)
(-0.0240253,0)
(0.0426751,0)
(-0.0145543,0)
(-0.0035326,0)
(-0.019453,0)
(0.000409154,0)
(0.00192714,0)
(-0.0150424,0)
(0.012495,0)
(-0.0348557,0)
(-0.00692564,0)
(0.0573767,0)
(-0.176196,0)
(0.552426,0)
(0.0479478,0)
(-0.0277092,0)
(-0.181389,0)
(0.296695,-0)
(-0.0496056,-0)
(0.27965,-0)
(-0.335792,-0)
(0.503912,-0)
(-0.486536,-0)
(-1.1353,-0)
(0.138473,-0)
(-0.144535,-0)
(0.0120337,-0)
(-0.132781,-0)
(0.0273637,-0)
(-0.143042,-0)
(0.0299753,-0)
(-0.000863009,-0)
(-0.180641,-0)
(0.320472,-0)
(-0.159967,-0)
(0.479773,0)
(-0.524065,0)
(1.26629,0)
(0.321594,0)
(0.483645,0)
(-0.0671006,0)
(-0.201431,0)
(-0.0658962,0)
(0.252025,0)
(-0.544606,0)
(1.60115,-0)
(0.00763536,-0)
(-0.228316,-0)
(-0.0635841,-0)
(0.184185,0)
(-0.0975961,0)
(0.226651,0)
(-0.142978,-0)
(-0.120251,0)
(-6.49734,0)
(-1.49799,0)
(3.06618,0)
(-1.13328,0)
(0.716947,0)
